ЖК,Цена,Количество комнат,Количество санузлов,Общая площадь,Площадь кухни,Жилая площадь,Наличие балкона,Этаж,Высота потолков,Отделка
ЖК «Любовь и Голуби»,15 464 720,2-комн.,1 совмещенный,"48,8","15,9","25,3",Балкона нет,20/22,"2,8",Предчистовая
ЖК «Любовь и Голуби»,15 567 200,2-комн.,1 совмещенный,"48,8","15,9","25,3",Балкона нет,21/22,"2,8",Предчистовая
ЖК «Амурский парк»,19 103 457,2-комн.,2 совмещенных,"58,4","21,6","22,8",Балкона нет,28/28,"2,62",Чистовая
ЖК «Октябрьское поле»,23 519 616,2-комн.,,"57,7","11,2",29,Балкона нет,16/27,3,Чистовая
ЖК «Октябрьское поле»,23 760 570,2-комн.,,58,"11,3","29,1",Балкона нет,25/27,3,Чистовая
ЖК «Октябрьское поле»,23 728 206,2-комн.,,58,"11,2","29,1",Балкона нет,22/27,3,С отделкой
ЖК «Октябрьское поле»,23 623 488,2-комн.,,"57,6","11,2","28,9",Балкона нет,27/27,3,Чистовая
ЖК «Октябрьское поле»,26 145 770,2-комн.,,"62,2","10,2","34,8",Балкона нет,21/25,3,Без отделки
ЖК «Октябрьское поле»,23 687 295,2-комн.,,"57,9","11,3","29,1",Балкона нет,22/27,3,Чистовая
ЖК «Октябрьское поле»,23 637 671,2-комн.,,"57,7","11,2","28,9",Балкона нет,26/27,3,Чистовая
ЖК «Clementine (Клементин)»,12 622 200,2-комн.,"1 совмещенный, 1 раздельный","54,5","17,2","25,1",Балкона нет,8/8,"2,8",Чистовая
ЖК «Clementine (Клементин)»,12 572 010,2-комн.,1 совмещенный,"50,7","15,5","24,3",Балкона нет,3/8,"2,8",С отделкой
ЖК «Clementine (Клементин)»,9 780 720,2-комн.,1 совмещенный,"49,8","15,6","23,9",Балкона нет,3/8,"2,8",Чистовая
ЖК «Clementine (Клементин)»,9 656 710,2-комн.,1 совмещенный,"49,7","15,6","23,9",Балкона нет,2/8,"2,8",Чистовая
ЖК «Clementine (Клементин)»,13 059 200,2-комн.,"1 совмещенный, 1 раздельный","54,5","17,2","25,3",Балкона нет,3/8,"2,8",Чистовая
ЖК «Clementine (Клементин)»,9 969 820,2-комн.,1 совмещенный,"49,7","15,6","23,9",Балкона нет,5/8,"2,8",Чистовая
ЖК «Clementine (Клементин)»,11 493 300,2-комн.,1 совмещенный,"54,6","16,5","25,4",Балкона нет,5/8,"2,8",Чистовая
ЖК «Clementine (Клементин)»,9 912 700,2-комн.,1 совмещенный,49,15,"24,5",Балкона нет,2/8,"2,8",Чистовая
ЖК «Clementine (Клементин)»,10 282 180,2-комн.,1 совмещенный,"52,3","16,1","24,3",Балкона нет,1/8,"2,8",Чистовая
ЖК «Clementine (Клементин)»,9 850 560,2-комн.,1 совмещенный,"49,6","15,6","23,9",Балкона нет,4/8,"2,8",Чистовая
ЖК «Clementine (Клементин)»,11 266 240,2-комн.,"1 совмещенный, 1 раздельный","54,4","18,8","24,3",Балкона нет,2/8,"2,8",
ЖК «Clementine (Клементин)»,11 199 600,2-комн.,1 совмещенный,"54,9","16,5","25,4",Балкона нет,2/8,"2,8",Чистовая
ЖК «Clementine (Клементин)»,10 465 200,2-комн.,1 совмещенный,"51,3","16,1",24,Балкона нет,2/8,"2,8",Чистовая
ЖК «Clementine (Клементин)»,10 710 560,2-комн.,1 совмещенный,"52,4","16,1","24,3",Балкона нет,5/8,"2,8",Чистовая
ЖК «Clementine (Клементин)»,10 134 240,2-комн.,1 совмещенный,"49,1",15,"24,5",Балкона нет,4/8,"2,8",Чистовая
